"CountyTown","Y104M12","Y105M06","Y105M12","Y106M06","Y106M12","Y104M12_status","Y105M06_status","Y105M12_status","Y106M06_status","Y106M12_status"
"雲林縣元長鄉",21.89,22.26,22.76,23.16,23.5,"超高齡","超高齡","超高齡","超高齡","超高齡"
"彰化縣北斗鎮",13.71,13.96,14.3,14.59,14.93,"高齡化","高齡化","高齡","高齡","高齡"
"彰化縣埔心鄉",13.14,13.34,13.59,13.8,13.99,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣埔鹽鄉",16.34,16.58,16.98,17.14,17.33,"高齡","高齡","高齡","高齡","高齡"
"彰化縣大城鄉",23.22,23.43,23.77,23.95,24.17,"超高齡","超高齡","超高齡","超高齡","超高齡"
"彰化縣大村鄉",12.25,12.44,12.68,12.97,13.19,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣二林鎮",17.16,17.34,17.71,17.89,18.15,"高齡","高齡","高齡","高齡","高齡"
"彰化縣二水鄉",21.18,21.44,21.64,21.88,22.21,"超高齡","超高齡","超高齡","超高齡","超高齡"
"彰化縣芳苑鄉",20.04,20.3,20.64,20.74,20.99,"超高齡","超高齡","超高齡","超高齡","超高齡"
"彰化縣芬園鄉",16.66,16.96,17.2,17.48,17.75,"高齡","高齡","高齡","高齡","高齡"
"彰化縣福興鄉",12.92,13.11,13.46,13.71,13.95,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣和美鎮",10.67,10.96,11.34,11.62,12.02,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣花壇鄉",11.91,12.14,12.52,12.83,13.08,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣鹿港鎮",12.27,12.48,12.73,12.98,13.23,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣埤頭鄉",16.32,16.49,16.86,17.14,17.42,"高齡","高齡","高齡","高齡","高齡"
"彰化縣社頭鄉",13.6,13.92,14.27,14.5,14.76,"高齡化","高齡化","高齡","高齡","高齡"
"彰化縣伸港鄉",11.16,11.37,11.58,11.73,11.91,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣田尾鄉",15.31,15.42,15.7,15.82,16,"高齡","高齡","高齡","高齡","高齡"
"彰化縣田中鎮",16.12,16.2,16.67,16.92,17.2,"高齡","高齡","高齡","高齡","高齡"
"彰化縣溪湖鎮",12.43,12.61,12.91,13.01,13.13,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣溪州鄉",17.97,18.2,18.42,18.69,18.88,"高齡","高齡","高齡","高齡","高齡"
"彰化縣線西鄉",12.46,12.65,12.89,13.12,13.37,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣秀水鄉",11.62,11.79,12.14,12.39,12.64,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣永靖鄉",13.59,13.83,14.21,14.43,14.77,"高齡化","高齡化","高齡","高齡","高齡"
"彰化縣員林市",12.22,12.48,12.9,13.23,13.64,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣彰化市",12.27,12.58,13.01,13.39,13.83,"高齡化","高齡化","高齡化","高齡化","高齡化"
"彰化縣竹塘鄉",20.66,20.78,20.99,21.21,21.47,"超高齡","超高齡","超高齡","超高齡","超高齡"
