"CountyTown","Y104M12","Y105M06","Y105M12","Y106M06","Y106M12","Y104M12_status","Y105M06_status","Y105M12_status","Y106M06_status","Y106M12_status"
"臺北市萬華區",16.71,17.09,17.42,17.85,18.2,"高齡","高齡","高齡","高齡","高齡"
"臺北市文山區",13.34,13.65,14.01,14.36,14.75,"高齡化","高齡化","高齡","高齡","高齡"
"臺北市信義區",15.97,16.34,16.84,17.3,17.72,"高齡","高齡","高齡","高齡","高齡"
"臺北市中山區",15.29,15.72,16.15,16.6,17.05,"高齡","高齡","高齡","高齡","高齡"
"臺北市中正區",15.76,16.05,16.46,16.7,17.14,"高齡","高齡","高齡","高齡","高齡"
"臺東縣卑南鄉",15.38,15.58,15.94,16.28,16.58,"高齡","高齡","高齡","高齡","高齡"
"臺東縣成功鎮",17.71,17.93,18.21,18.6,18.96,"高齡","高齡","高齡","高齡","高齡"
"臺東縣池上鄉",19.51,19.96,20.3,20.51,20.78,"高齡","高齡","超高齡","超高齡","超高齡"
"臺東縣達仁鄉",10.67,10.68,10.98,11.22,11.65,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺東縣大武鄉",13.12,13.61,13.79,14.26,14.45,"高齡化","高齡化","高齡化","高齡","高齡"
"臺東縣東河鄉",20.61,20.89,21.37,21.7,21.9,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺東縣關山鎮",17.57,17.97,18.2,18.62,18.76,"高齡","高齡","高齡","高齡","高齡"
"臺東縣海端鄉",7.08,7.29,7.45,7.59,7.84,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺東縣金峰鄉",8.31,8.38,8.91,9.15,9.17,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺東縣蘭嶼鄉",6.7,6.67,6.67,7.05,7.23,"未達高齡化","未達高齡化","未達高齡化","高齡化","高齡化"
"臺東縣鹿野鄉",18.53,18.91,19.21,19.47,19.65,"高齡","高齡","高齡","高齡","高齡"
"臺東縣綠島鄉",9.93,10.24,10.71,10.67,10.77,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺東縣臺東市",12.99,13.29,13.55,13.85,14.19,"高齡化","高齡化","高齡化","高齡化","高齡"
"臺東縣太麻里鄉",16.57,16.94,17.23,17.54,18,"高齡","高齡","高齡","高齡","高齡"
"臺東縣延平鄉",7.75,7.88,7.95,8.11,8.25,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺東縣長濱鄉",22.23,22.67,22.83,23.12,23.43,"超高齡","超高齡","超高齡","超高齡","超高齡"
"臺南市安定區",13.16,13.36,13.66,13.84,14.15,"高齡化","高齡化","高齡化","高齡化","高齡"
"臺南市安南區",8.74,9.09,9.49,9.77,10.11,"高齡化","高齡化","高齡化","高齡化","高齡化"
"臺南市安平區",8.48,8.81,9.16,9.45,9.78,"高齡化","高齡化","高齡化","高齡化","高齡化"
